ticker,name,morningstar_url,type,content,aaop,index,dividend,tax,tax_principle,strategy,morningstar_rating,sustainability_rating,nordnet_maanedsopsparing
STIINM,Storebrand Indeks Nye Markeder A5,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F000013CKL,Investeringsforening,,"0,51%",,Akkumulerende,,Lager,Realisation,3,4,
SYIMSTAR,Sydinvest Morningstar Global Markets Sustainability Leaders KL,http://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F000011JG6,Investeringsforening,106,"0,61%",MGMSL,Distribuerende,,Realisation,Passiv,,5,
LU0278272413,Triodos SICAV I - Triodos Global Equities Impact Fund EUR R Distributio,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000ITED,Investeringsforening,,"1,55%",,,,,Aktiv,3,5,
LU0504302356,Triodos SICAV I - Triodos Impact Mixed Fund-Neutral EUR R Capitalisation,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F00000JXOZ,Investeringsforening,,"1,35%",,,,,Aktiv,5,,
LU0278272843,Triodos SICAV I - Triodos Pioneer Impact Fund EUR R Capitalisation,https://www.morningstar.dk/dk/funds/snapshot/snapshot.aspx?id=F0000006RV,Investeringsforening,,"1,98%",,,,,Aktiv,2,2,
VGWD,Vanguard FTSE All-World High Dividend Yield UCITS ETF (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001BVG7,ETF,,"0,29%",,Distribuerende,,Kapital,Passiv,3,3,
VGWL,Vanguard FTSE All-World UCITS ETF (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001BVG9,ETF,,"0,25%",,Distribuerende,,Kapital,Passiv,4,2,
VWCE,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001I3S0,ETF,3367,"0,22%",FTSE All-World,,,,Passiv,0,2,
VGWL,Vanguard FTSE All-World UCITS ETF (USD) Dist,https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001BVG9,ETF,3367,"0,22%",FTSE All-World,,,,Passiv,4,2,
VEUR,Vanguard FTSE Developed Europe UCITS ETF,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000YVD4,ETF,,"0,12%",,Distribuerende,,Kapital,Passiv,4,2,
VFEM,Vanguard FTSE Emerging Markets UCITS ETF (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000YXJQ,ETF,,"0,25%",,Distribuerende,,Kapital,Passiv,4,3,
VNRT,Vanguard FTSE North America UCITS ETF,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001BVGN,ETF,,"0,10%",,Distribuerende,,Kapital,Passiv,4,3,
VUSA,Vanguard S&P 500 UCITS ETF (EUR),http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000YXKB,ETF,,"0,07%",,Distribuerende,,Kapital,Passiv,5,3,
VUCP,Vanguard USD Corporate Bond UCITS ETF,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P00017M0P,ETF,,"0,12%",,Distribuerende,,Kapital,Passiv,4,4,
VDTY,Vanguard USD Treasury Bond UCITS ETF,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P00017JX0,ETF,,"0,12%",,Distribuerende,,Kapital,Passiv,3,,
D5BG,Xtrackers II EUR Corporate Bond UCITS ETF 1C,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000NBHQ,ETF,,"0,16%",,Distribuerende,,Kapital,Passiv,3,3,Ja
DBXN,Xtrackers II Eurozone Government Bond UCITS ETF 1C,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P000094CC,ETF,,"0,15%",,Distribuerende,,Kapital,Passiv,4,,Ja
XDWL,Xtrackers MSCI World UCITS ETF 1D,http://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P00015VBW,ETF,,"0,19%",,Distribuerende,,Kapital,Passiv,4,3,Ja
IUSQ,iShares MSCI ACWI UCITS ETF,https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0000X4V9&InvestmentType=FE,ETF,1601,"0,20%",,Akkumulerende,,Kapital,Passiv,,,
LCUW,Lyxor Core MSCI World (DR) UCITS ETF (EUR),https://www.morningstar.dk/dk/etf/snapshot/snapshot.aspx?id=0P0001CXZK,ETF,1558,"0,12%",MSCI World Net Total Return USD Index,Akkumulerende,,,Passiv,,,
